OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NUSAT-31 (RUBY PAYNE-S),2022-057W,2024-08-16T18:31:34.142880,15.34670002,0.0006498,97.5807,355.3447,285.9468,74.1058,0,U,52752,999,12367,0.0013674,0.00046114,0
HAWK-5C,2022-057Y,2024-08-16T07:49:57.302688,15.25111531,0.0006918,97.5836,352.2448,303.7366,56.3211,0,U,52754,999,12337,0.00074576,0.00018638,0
ICEYE-X24,2022-057Z,2024-08-16T19:12:07.902144,15.4768536,3.5e-05,97.5723,0.0537,339.6632,20.4603,0,U,52755,999,12400,0.0017346,0.00090486,0
HAWK-5B,2022-057AA,2024-08-16T07:49:45.640416,15.25115388,0.0007507,97.5835,350.6909,297.7931,62.2545,0,U,52756,999,12337,0.00080805,0.0002021,0
HAWK-5A,2022-057AB,2024-08-16T07:49:25.481568,15.25114139,0.0007818,97.5835,351.4615,301.1301,58.9169,0,U,52757,999,12337,0.00076458,0.00019117,0
CARCARA 2 (ICEYE-X19),2022-057AC,2024-08-16T18:46:08.123808,15.3881874,0.0011608,97.5696,355.1572,283.0749,76.92,0,U,52758,999,12369,0.0019905,0.00077165,0
ICEYE-X20,2022-057AD,2024-08-16T18:53:19.868928,15.4148418,0.000708,97.5749,0.3729,264.3918,95.6521,0,U,52759,999,12402,0.00096188,0.00040407,0
VIGORIDE-3,2022-057AE,2024-08-16T21:17:12.128352,15.18607859,0.0009428,97.5818,349.2089,304.7348,55.2998,0,U,52760,999,12328,0.00040491,8.32e-05,0
ION SCV-006,2022-057AF,2024-08-16T07:48:08.431776,15.23704113,0.0017961,97.5347,348.4922,345.9395,14.1339,0,U,52761,999,12331,0.00061356,0.0001474,0
ICEYE-X17,2022-057AG,2024-08-16T19:23:16.442016,15.28326873,0.0014517,97.5736,355.0665,273.1977,86.7601,0,U,52762,999,12368,0.0015351,0.00042599,0
SHERPA-AC1,2022-057AH,2024-08-16T07:36:28.830240,15.21949804,0.0009414,97.5858,350.3284,299.2331,60.7963,0,U,52763,999,12329,0.00056058,0.00012735,0
NUSAT-29 (EDITH CLARKE),2022-057AJ,2024-08-16T21:17:40.647264,15.30252392,0.0007162,97.4523,348.5562,233.67,126.388,0,U,52764,999,12397,0.0013687,0.00040177,0
ARMSAT1 URDANETA,2022-057AK,2024-08-16T19:41:38.089536,15.37167061,0.0008235,97.585,358.1135,265.6478,94.3825,0,U,52765,999,12383,0.00084217,0.00030679,0
